"Directory","Name","SizeKB"
"C:\pmftours-website\image","Hero.png","1117.8"
"C:\pmftours-website\image","Kia-Sportage.png","95.7"
"C:\pmftours-website\image","kia.png","1836.2"
"C:\pmftours-website\image","logo-blanco.png","211.8"
"C:\pmftours-website\image","logo.png","233.1"
"C:\pmftours-website\image","pierre-flores.png","97.5"
"C:\pmftours-website\image\favicon","apple-touch-icon.png","10.8"
"C:\pmftours-website\image\favicon","favicon-96x96.png","4.1"
"C:\pmftours-website\image\favicon","favicon.ico","14.7"
"C:\pmftours-website\image\favicon","favicon.svg","623.1"
"C:\pmftours-website\image\favicon","site.webmanifest","1.5"
"C:\pmftours-website\image\favicon","web-app-manifest-192x192.png","12.1"
"C:\pmftours-website\image\favicon","web-app-manifest-512x512.png","47.7"
"C:\pmftours-website\image\gallery","Canal de Panamá.jpg","229.9"
"C:\pmftours-website\image\gallery","Canal.jpg","185.2"
"C:\pmftours-website\image\gallery","casco-viejo.png","1470.2"
"C:\pmftours-website\image\gallery","imagen1.jpg","307.2"
"C:\pmftours-website\image\gallery","imagen2.jpg","377.5"
"C:\pmftours-website\image\gallery","imagen3.jpg","298"
"C:\pmftours-website\image\gallery","imagen4.jpg","202.6"
"C:\pmftours-website\image\gallery","imagen5.jpg","275.8"
"C:\pmftours-website\image\gallery","imagen6.jpg","488.6"
"C:\pmftours-website\image\gallery","Ocu.jpg","331.2"
"C:\pmftours-website\image\gallery","Playa.png","189"
"C:\pmftours-website\image\gallery","Turistas.png","162.9"
"C:\pmftours-website\image\testimonios","Usuario1.jpg","171.3"
"C:\pmftours-website\image\testimonios","Usuario2.jpg","179.4"
"C:\pmftours-website\image\testimonios","Usuario3.jpg","125.6"
"C:\pmftours-website\image\tours","Casco-Antiguo.png","207.4"
"C:\pmftours-website\image\tours","Ciudad.png","86.9"
"C:\pmftours-website\image\tours","Kia-Casco.png","88.6"
"C:\pmftours-website\image\tours","Playa.png","189"
